aliasNames,shortName
approved/gpl-pa-1.1,FSF/GPL-PA
approved/hsqldb=bsd based license,Approved/BSD-3-Clause for HSQL Development Group
approved/intel,spdx/Intel-ACPI
approved/jabberoslv1.0,FSF/josl
approved/jcip-annotations license,spdx/CC-BY-2.5
approved/latex_ecfonts,FSF/ecfonts
approved/licensed under lgpl notice,Approved/LGPLv2 + CERN NOTICE
approved/microsoft shared source license,FSF/Ms-SS
approved/mit,spdx/MIT
approved/mit + copyright llicense,spdx/MIT
approved/mit + own license notice,spdx/MIT
approved/mit + own products notice,spdx/MIT
approved/oculus_vr_rift_sdk_license,FSF/OculusRift
approved/openssl,spdx/OpenSSL
approved/opl-1.0,spdx/OPL-1.0
approved/originalbsd,spdx/BSD-4-Clause
approved/peer-production,FSF/PPL
approved/pine,FSF/PINE
approved/python-1.6b1,spdx/Python-2.0
approved/rpl-1.3,spdx/RPL-1.1
approved/scilab,FSF/Scilab
approved/scratch-1.4,FSF/Scratch
approved/simplem-1.1,FSF/SML
approved/sleepycat,spdx/Sleepycat
approved/squeak-old,FSF/Squeak
approved/standardml-nj,spdx/SMLNJ
approved/suncslv2.8,FSF/SunCommunitySourceLicense
approved/truecrypt-3.0,FSF/Truecrypt-3.0
approved/ucb-lb license,spdx/BSD-4-Clause
approved/utahpubliclicense,FSF/UtahPublicLicense
approved/w3c software notice and license.dom-software,spdx/W3C
approved/webm,FSF/WebM
approved/x11,spdx/X11
apr apache portability runtime library,Approved/Apache Software Foundation products NOTICE
apsl-1.0,spdx/APSL-1.0
apsl-1.1,spdx/APSL-1.1
apsl-1.2,spdx/APSL-1.2
apsl-2.0,spdx/APSL-2.0
arev fonts copyright,Approved/Arev Fonts License
arev fonts license,Approved/Arev Fonts License
arphic public license,FSF/Arphic
artistic 2.0,spdx/Artistic-2.0
artistic license 1.0,spdx/Artistic-1.0
artistic license 1.0 (perl),spdx/Artistic-1.0-Perl
artistic license 1.0 w/clause 8,spdx/Artistic-1.0-cl8
artistic license 2.0,spdx/Artistic-2.0
artistic license version 1.0,spdx/Artistic-1.0
artistic license?1.0,spdx/Artistic-1.0
artistic license?2.0,spdx/Artistic-2.0
artistic-1.0,spdx/Artistic-1.0
artistic-1.0-cl8,spdx/Artistic-1.0-cl8
artistic-1.0-perl,spdx/Artistic-1.0-Perl
artistic-2.0,spdx/Artistic-2.0
artistic-license-2.0,spdx/Artistic-2.0
artisticlicense2,spdx/Artistic-2.0
"as libpng-0.96, with the following individuals added to the list",spdx/zlib-acknowledgement
as published by the free software foundation,spdx/GFDL-1.3
as published by the free software foundation; either,spdx/GPL-2.0
asf 2.0,spdx/Apache-2.0
asf license,Approved/Apache Software Foundation products NOTICE
asl,spdx/Apache-2.0
asl 2.0,spdx/Apache-2.0
asl or a similar license,spdx/Apache-2.0
"asl, version 2",spdx/Apache-2.0
asl2,spdx/Apache-2.0
asl_2_0,spdx/Apache-2.0
aslv2,spdx/Apache-2.0
at&t public license,FSF/ATTPublicLicense
atlassian,Approved/Atlassian purchase-licensing
atlassian 3.0 end user license agreement,Approved/Atlassian purchase-licensing
"atlassian,bsd",Approved/Atlassian purchase-licensing
atomikos multiple licensing,Approved/ExtremeTransactions Development License
attpubliclicense,FSF/ATTPublicLicense
attribution assurance license,spdx/AAL
