classPackage,artifactId
org.apache.lucene.codecs,org.apache.lucene--lucene-codecs--4.8.1
org.apache.lucene.document,org.apache.lucene--lucene-sandbox--7.3.1
org.apache.lucene.expressions,org.apache.lucene--lucene-expressions--4.7.2
org.apache.lucene.index,org.apache.lucene--lucene-memory--5.0.0
org.apache.lucene.index.memory,org.apache.lucene--lucene-memory--5.0.0
org.apache.lucene.misc,org.apache.lucene--lucene-misc--4.0.0
org.apache.lucene.payloads,org.apache.lucene--lucene-sandbox--7.3.1
org.apache.lucene.queries,org.apache.lucene--lucene-queries--7.6.0
org.apache.lucene.queryparser,org.apache.lucene--lucene-queryparser--7.6.0
org.apache.lucene.sandbox,org.apache.lucene--lucene-sandbox--6.6.5
org.apache.lucene.search,org.apache.lucene--lucene-remote--3.6.2
org.apache.lucene.search.grouping,org.apache.lucene--lucene-grouping--7.6.0
org.apache.lucene.search.highlight,org.apache.lucene--lucene-highlighter--3.2.0
org.apache.lucene.search.join,org.apache.lucene--lucene-join--5.5.5
org.apache.lucene.search.spell,org.apache.lucene--lucene-spellchecker--3.0.3
org.apache.lucene.search.suggest,org.apache.lucene--lucene-suggest--5.2.1
org.apache.lucene.spatial,org.apache.lucene--lucene-spatial--4.10.4
org.apache.lucene.spatial.bbox,org.apache.lucene--lucene-spatial-extras--7.6.0
org.apache.lucene.spatial3d,org.apache.lucene--lucene-spatial3d--7.6.0
org.apache.maven.artifact,org.apache.maven--maven-artifact--3.5.3
org.apache.maven.artifact.manager,org.apache.maven--maven-artifact-manager--2.0.11
org.apache.maven.artifact.repository.metadata.io.xpp3,org.apache.maven--maven-repository-metadata--3.5.3
org.apache.maven.model,org.apache.maven--maven-model--3.0-beta-1
org.apache.maven.plugin,org.apache.maven--maven-plugin-api--3.5.3
org.apache.maven.plugin.registry,org.apache.maven--maven-plugin-registry--2.0.11
org.apache.maven.profiles,org.apache.maven--maven-profile--2.0.11
org.apache.maven.project,org.apache.maven--maven-project--2.0.11
org.apache.maven.settings,org.apache.maven--maven-settings--3.5.3
org.apache.maven.wagon,org.apache.maven.wagon--wagon-provider-api--3.0.0
org.apache.poi,org.apache.poi--poi--3.17
org.apache.tools,org.apache.ant--ant--1.10.3
org.apache.tools.ant,org.apache.ant--ant--1.10.2
org.apache.tools.ant.attribute,org.apache.ant--ant--1.10.2
org.apache.tools.ant.dispatch,org.apache.ant--ant--1.10.2
org.apache.tools.ant.launch,org.apache.ant--ant-launcher--1.10.2
org.apache.velocity,org.apache.velocity--velocity--1.7
org.apache.velocity.tools.generic,org.apache.velocity--velocity-tools--2.0
org.apache.xmlbeans,org.apache.xmlbeans--xmlbeans--2.6.0
org.apache.xmlcommons,xerces--xmlParserAPIs--2.6.1
org.bouncycastle,org.bouncycastle--bcprov-jdk15--124
org.bouncycastle.asn1,org.bouncycastle--bcprov-jdk16--1.46
org.bouncycastle.asn1.cmp,org.bouncycastle--bcprov-jdk15on--1.46
org.bouncycastle.asn1.eac,org.bouncycastle--bcprov-ext-jdk15on--1.48
org.bouncycastle.asn1.icao,org.bouncycastle--bcprov-ext-jdk15on--1.46
org.bouncycastle.cert,org.bouncycastle--bcpkix-jdk15on--1.48
org.bouncycastle.jcajce.provider.asymmetric,org.bouncycastle--bcprov-ext-jdk15on--1.48
org.bouncycastle.tsp,org.bouncycastle--bctsp-jdk16--1.46
org.codehaus.plexus.util,org.codehaus.plexus--plexus-utils--3.0.5
org.cyberneko.html,net.sourceforge.nekohtml--nekohtml--1.9.22
org.dbunit,org.dbunit--dbunit--2.5.4
org.dbunit.ext.hirdb,org.dbunit--dbunit-ecando-fix--2.5.1
org.dom4j,org.dom4j--dom4j--2.1.0
org.eclipse.jdt.core.compiler,org.eclipse.jdt--ecj--3.13.100
org.eclipse.jdt.internal.compiler,eclipse--ejc--3.0M8
org.eclipse.jdt.internal.core.util,org.eclipse.jdt--core--3.2.0.658
org.eclipse.jetty.io,org.eclipse.jetty--jetty-io--9.3.23.v20180228
org.eclipse.jetty.util,org.eclipse.jetty--jetty-util--9.3.23.v20180228
org.eclipse.jetty.websocket.api,org.eclipse.jetty.websocket--websocket-api--9.3.23.v20180228
org.eclipse.jetty.websocket.client,org.eclipse.jetty.websocket--websocket-client--9.3.23.v20180228
org.eclipse.jetty.websocket.common,org.eclipse.jetty.websocket--websocket-common--9.3.23.v20180228
org.eclipse.jgit,org.eclipse.jgit--org.eclipse.jgit--5.2.1.201812262042-r
org.eclipse.jgit.http.server,org.eclipse.jgit--org.eclipse.jgit.http.server--5.2.1.201812262042-r
org.eclipse.persistence,org.eclipse.persistence--org.eclipse.persistence.core--2.7.1
org.eclipse.persistence.internal.jaxb,org.eclipse.persistence--org.eclipse.persistence.moxy--2.7.1
org.eclipse.persistence.internal.libraries.antlr.runtime,org.eclipse.persistence--org.eclipse.persistence.antlr--2.7.1
org.eclipse.persistence.internal.libraries.asm,org.eclipse.persistence--org.eclipse.persistence.asm--2.7.1
org.eclipse.persistence.services,org.eclipse.persistence--eclipselink--2.5.3-RC1
org.elasticsearch,org.elasticsearch--elasticsearch--6.5.4
org.elasticsearch.action,org.elasticsearch.plugin--delete-by-query--2.4.6
org.elasticsearch.action.admin,org.elasticsearch--elasticsearch--6.5.4
org.elasticsearch.analysis.common,org.codelibs.elasticsearch.module--analysis-common--6.5.4
org.elasticsearch.bootstrap,org.elasticsearch--elasticsearch-core--6.5.4
org.elasticsearch.cli,org.elasticsearch--cli--6.1.0
org.elasticsearch.common,org.elasticsearch--elasticsearch-core--6.4.3
org.elasticsearch.common.blobstore.url,org.codelibs.elasticsearch.module--repository-url--6.5.4
org.elasticsearch.http.netty4,org.elasticsearch.plugin--transport-netty4-client--6.5.4
org.elasticsearch.index.mapper,org.elasticsearch--elasticsearch-mapper-attachments--0.8.0
org.elasticsearch.index.rankeval,org.elasticsearch.plugin--rank-eval-client--6.5.4
org.elasticsearch.index.reindex.remote,org.elasticsearch.plugin--reindex-client--6.5.4
org.elasticsearch.ingest.common,org.codelibs.elasticsearch.module--ingest-common--6.5.4
org.elasticsearch.join,org.codelibs.elasticsearch.module--parent-join--5.5.3
org.elasticsearch.painless,org.codelibs.elasticsearch.module--lang-painless--6.5.4
org.elasticsearch.painless.antlr,org.codelibs.elasticsearch.module--lang-painless--6.5.4
org.elasticsearch.painless.spi,org.codelibs.elasticsearch.module--scripting-painless-spi--6.5.4
org.elasticsearch.percolator,org.elasticsearch.plugin--percolator-client--6.5.4
org.elasticsearch.plugins,org.codelibs.elasticsearch.lib--plugin-classloader--6.5.4
org.elasticsearch.script.expression,org.elasticsearch.module--lang-expression--2.4.6
org.elasticsearch.script.mustache,org.codelibs.elasticsearch.module--lang-mustache--6.2.3
org.elasticsearch.search,org.elasticsearch.plugin--aggs-matrix-stats-client--6.5.3
org.elasticsearch.search.aggregations,org.elasticsearch.plugin--aggs-matrix-stats-client--6.5.4
org.elasticsearch.securemock,org.elasticsearch--securemock--1.2
org.elasticsearch.tools.launchers,org.codelibs.elasticsearch.lib--plugin-classloader--6.5.4
org.elasticsearch.tribe,org.codelibs.elasticsearch.module--tribe--6.5.4
org.etsi.uri,org.apache.poi--poi-ooxml-schemas--3.17
org.glassfish.hk2,org.glassfish.hk2--hk2-api--2.1.3
org.glassfish.hk2.api,org.glassfish.hk2--hk2-api--2.1.96
org.glassfish.hk2.osgiresourcelocator,org.glassfish.hk2--osgi-resource-locator--2.5.0-b42
org.glassfish.hk2.utilities.cache,org.glassfish.hk2--hk2-utils--2.4.0-b07
org.glassfish.jersey,org.glassfish.jersey.core--jersey-common--2.26-b02
org.glassfish.jersey.client,org.glassfish.jersey.core--jersey-client--2.26-b03
org.glassfish.jersey.message.filtering,org.glassfish.jersey.ext--jersey-entity-filtering--2.26
org.glassfish.jersey.moxy.internal,org.glassfish.jersey.media--jersey-media-moxy--2.26
org.glassfish.jersey.servlet,org.glassfish.jersey.containers--jersey-container-servlet-core--2.19
org.glassfish.jersey.servlet.async,org.glassfish.jersey.containers--jersey-container-servlet--2.22.1
org.hamcrest,org.hamcrest--hamcrest-core--1.3
org.hamcrest.beans,org.hamcrest--hamcrest-library--1.3.RC2
org.hdrhistogram,org.hdrhistogram--HdrHistogram--2.1.10
org.jaxen,jaxen--jaxen--1.1.6
org.jcodings,org.jruby.jcodings--jcodings--1.0.5
org.jctools,org.jctools--jctools-core--2.1.1
org.jenkinsci,org.jenkins-ci.main--jenkins-core--2.85
org.jenkinsci.plugins,org.jenkins-ci.plugins--plugins--3.25
org.jenkinsci.plugins.pipeline,org.jenkins-ci.plugins--pipeline-utility-steps--3.25
org.jenkinsci.plugins.pipeline.modeldefinition,org.jenkinsci.plugins--pipeline-model-definition--1.3.4.1
org.joda.time,joda-time--joda-time--2.9.9
org.joni,org.jruby.joni--joni--2.1.5
org.jruby.jcodings,org.jruby.jcodings--jcodings--1.0.5
org.jruby.joni,org.jruby.joni--joni--2.1.5
org.jsoup,org.jsoup--jsoup--1.11.2
org.junit,junit--junit--4.3
org.jvnet.hk2,org.glassfish.hk2--hk2-api--1.6.36
org.jvnet.hk2.external.generator,org.glassfish.hk2--hk2-locator--2.1.50
org.jvnet.tiger_types,org.glassfish.hk2--tiger-types-osgi--2.5.0-b42
org.kohsuke.groovy.sandbox,org.kohsuke--groovy-sandbox--1.19
org.locationtech.spatial4j,org.locationtech.spatial4j--spatial4j--0.7
org.mockito,org.mockito--mockito-core--2.2.5
org.mockito.asm,org.mockito--mockito-all--1.9.0
org.mockito.internal,org.mockito--mockito-core--2.2.5
org.mozilla.classfile,org.mozilla--rhino--1.7R3
org.mozilla.javascript,org.mozilla--rhino--1.7.10
org.objectweb.asm,org.ow2.asm--asm--7.0
org.objectweb.asm.commons,org.ow2.asm--asm-commons--7.0
org.objectweb.asm.tree,org.ow2.asm--asm-tree--7.0
org.objectweb.asm.tree.analysis,org.ow2.asm--asm-analysis--7.0
org.objenesis,org.objenesis--objenesis--2.6
org.openqa.grid,org.seleniumhq.selenium--selenium-server--3.11.0
org.openqa.jetty,org.seleniumhq.selenium--jetty-rc-repacked--5
org.openqa.selenium,org.seleniumhq.selenium--selenium-remote-driver--2.17.0
org.openqa.selenium.browserlaunchers.locators,org.seleniumhq.selenium--selenium-remote-driver--3.11.0
org.openqa.selenium.chrome,org.seleniumhq.selenium--selenium-chrome-driver--2.47.1
org.openqa.selenium.edge,org.seleniumhq.selenium--selenium-edge-driver--3.11.0
org.openqa.selenium.firefox,org.seleniumhq.selenium--selenium-firefox-driver--3.3.1
org.openqa.selenium.htmlunit,org.seleniumhq.selenium--selenium-htmlunit-driver--2.52.0
org.openqa.selenium.ie,org.seleniumhq.selenium--selenium-ie-driver--3.3.1
org.openqa.selenium.lift,org.seleniumhq.selenium--lift--3.11.0
org.openqa.selenium.opera,org.seleniumhq.selenium--selenium-opera-driver--3.11.0
org.openqa.selenium.safari,org.seleniumhq.selenium--selenium-safari-driver--3.11.0
org.openqa.selenium.support,org.seleniumhq.selenium--selenium-support--3.11.0
org.openxmlformats.schemas,org.apache.poi--poi-ooxml-schemas--3.17
org.ow2.asm,org.ow2.asm--asm--7.0
org.seleniumhq.jetty7,org.seleniumhq.selenium--jetty-repacked--7.6.1
org.seleniumhq.jetty7.client,org.seleniumhq.selenium--jetty-repacked--7.6.1.1
org.slf4j,org.slf4j--slf4j-api--1.5.2
org.slf4j.impl.JCLLoggerFactory,org.slf4j--slf4j-jcl--1.0-rc5
org.slf4j.impl.JDK14LoggerFactory,org.slf4j--slf4j-jdk14--1.0-rc5
org.slf4j.impl.Log4jLoggerFactory,org.slf4j--slf4j-log4j12--1.7.22
org.slf4j.impl.StaticMDCBinder,org.slf4j--slf4j-nop--1.0-rc5
org.slf4j.spi,org.slf4j--slf4j-api--1.5.2
org.tartarus.snowball,org.apache.lucene--lucene-snowball--3.0.3
org.w3.x2000.x09.xmldsig,org.apache.poi--ooxml-security--1.1
org.w3c.css.sac,org.w3c.css--sac--1.3
org.w3c.dom,org.w3c--dom--2.3.0-jaxb-1.0.6
org.w3c.tidy,net.sf.jtidy--jtidy--r938
org.xml.sax,sax--sax--2.0.1
org.yaml.snakeyaml,org.yaml--snakeyaml--1.4
schemaorg_apache_xmlbeans.system,org.apache.servicemix.geronimo--deployer-service--3.3
schemaorg_apache_xmlbeans.system.sXMLLANG,org.apache.xmlbeans--xmlbeans-xmlpublic--2.6.0
schemasMicrosoftComOfficeExcel,org.apache.poi--poi-ooxml-schemas--3.6
schemasMicrosoftComOfficeOffice,org.apache.poi--poi-ooxml-schemas--3.6
schemasMicrosoftComVml,org.apache.poi--poi-ooxml-schemas--3.6
