identificationType,fileIdentifier,fileSize,projectsName,licenseName(s),similarity(s)
pathSuffix,elasticsearch-6.2.3\lib\log4j-api-2.9.1.jar#\META-INF\LICENSE,11358,?--log4j-api---2.9.1,"spdx/Apache-2.0
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/LICENSE","0.92534,
0.92841,
0.92678"
pathSuffix,elasticsearch-6.2.3\lib\log4j-api-2.9.1.jar#\META-INF\NOTICE,173,?--log4j-api---2.9.1,Approved/elasticsearch-6.2.3/lib/log4j-api-2.9.1.jar#/META-INF/NOTICE,0.87452
pathSuffix,elasticsearch-6.2.3\lib\log4j-api-2.9.1.jar#\META-INF\maven\org.apache.logging.log4j\log4j-api\pom.xml,12370,org.apache.logging.log4j--log4j-api--2.9.1,Approved/elasticsearch-6.2.3/lib/log4j-api-2.9.1.jar#/META-INF/maven/org.apache.logging.log4j/log4j-api/pom.xml,0.95251
pathSuffix,elasticsearch-6.2.3\lib\log4j-core-2.9.1.jar#\META-INF\LICENSE,11366,?--log4j-core---2.9.1,"spdx/Apache-2.0
Approved/elasticsearch-6.2.3/lib/log4j-core-2.9.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE","0.91667,
0.92881,
0.91966"
pathSuffix,elasticsearch-6.2.3\lib\log4j-core-2.9.1.jar#\META-INF\NOTICE,217,?--log4j-core---2.9.1,"Approved/elasticsearch-6.2.3/lib/log4j-core-2.9.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/modules/reindex/httpasyncclient-4.1.2.jar#/META-INF/NOTICE","0.86279,
0.82398"
pathSuffix,elasticsearch-6.2.3\lib\log4j-core-2.9.1.jar#\META-INF\maven\org.apache.logging.log4j\log4j-core\pom.xml,20279,org.apache.logging.log4j--log4j-core--2.9.1,Approved/elasticsearch-6.2.3/lib/log4j-core-2.9.1.jar#/META-INF/maven/org.apache.logging.log4j/log4j-core/pom.xml,0.96795
pathSuffix,elasticsearch-6.2.3\lib\lucene-analyzers-common-7.2.1.jar#\META-INF\LICENSE.txt,24570,?--lucene-analyzers-common---7.2.1,"Approved/elasticsearch-6.2.3/lib/lucene-misc-7.2.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/lucene-queryparser-7.2.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/lucene-spatial-7.2.1.jar#/META-INF/LICENSE","0.94613,
0.94278,
0.94193"
pathSuffix,elasticsearch-6.2.3\lib\lucene-analyzers-common-7.2.1.jar#\META-INF\NOTICE.txt,9571,?--lucene-analyzers-common---7.2.1,"Approved/elasticsearch-6.2.3/lib/lucene-spatial3d-7.2.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/lucene-sandbox-7.2.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/lucene-spatial-extras-7.2.1.jar#/META-INF/NOTICE","0.96330,
0.96305,
0.96260"
pathSuffix,elasticsearch-6.2.3\lib\lucene-backward-codecs-7.2.1.jar#\META-INF\LICENSE.txt,24570,?--lucene-backward-codecs---7.2.1,"Approved/elasticsearch-6.2.3/lib/lucene-misc-7.2.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/lucene-spatial3d-7.2.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/lucene-highlighter-7.2.1.jar#/META-INF/LICENSE","0.95858,
0.95845,
0.95842"
pathSuffix,elasticsearch-6.2.3\lib\lucene-backward-codecs-7.2.1.jar#\META-INF\NOTICE.txt,9571,?--lucene-backward-codecs---7.2.1,"Approved/elasticsearch-6.2.3/lib/lucene-spatial3d-7.2.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/lucene-sandbox-7.2.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/lucene-spatial-extras-7.2.1.jar#/META-INF/NOTICE","0.96041,
0.96041,
0.95936"
pathSuffix,elasticsearch-6.2.3\lib\lucene-core-7.2.1.jar#\META-INF\LICENSE.txt,24570,?--lucene-core---7.2.1,"Approved/elasticsearch-6.2.3/lib/lucene-misc-7.2.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/lucene-join-7.2.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/lucene-spatial3d-7.2.1.jar#/META-INF/LICENSE","0.95501,
0.95374,
0.95364"
pathSuffix,elasticsearch-6.2.3\lib\lucene-core-7.2.1.jar#\META-INF\NOTICE.txt,9571,?--lucene-core---7.2.1,"Approved/elasticsearch-6.2.3/lib/lucene-queries-7.2.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/lucene-spatial3d-7.2.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/lucene-spatial-extras-7.2.1.jar#/META-INF/NOTICE","0.96516,
0.96509,
0.96374"
pathSuffix,elasticsearch-6.2.3\lib\lucene-grouping-7.2.1.jar#\META-INF\LICENSE.txt,24570,?--lucene-grouping---7.2.1,"Approved/elasticsearch-6.2.3/lib/lucene-misc-7.2.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/lucene-queryparser-7.2.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/lucene-spatial-extras-7.2.1.jar#/META-INF/LICENSE","0.94792,
0.94562,
0.94552"
pathSuffix,elasticsearch-6.2.3\lib\lucene-grouping-7.2.1.jar#\META-INF\NOTICE.txt,9571,?--lucene-grouping---7.2.1,"Approved/elasticsearch-6.2.3/lib/lucene-spatial-extras-7.2.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/lucene-spatial3d-7.2.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/lucene-sandbox-7.2.1.jar#/META-INF/NOTICE","0.95643,
0.95635,
0.95577"
pathSuffix,elasticsearch-6.2.3\lib\lucene-highlighter-7.2.1.jar#\META-INF\LICENSE.txt,24570,?--lucene-highlighter---7.2.1,"Approved/elasticsearch-6.2.3/lib/lucene-misc-7.2.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/lucene-highlighter-7.2.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/lucene-join-7.2.1.jar#/META-INF/LICENSE","0.96423,
0.96215,
0.96213"
pathSuffix,elasticsearch-6.2.3\lib\lucene-highlighter-7.2.1.jar#\META-INF\NOTICE.txt,9571,?--lucene-highlighter---7.2.1,"Approved/elasticsearch-6.2.3/lib/lucene-spatial3d-7.2.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/lucene-spatial-extras-7.2.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/lucene-sandbox-7.2.1.jar#/META-INF/NOTICE","0.95808,
0.95736,
0.95705"
pathSuffix,elasticsearch-6.2.3\lib\lucene-join-7.2.1.jar#\META-INF\LICENSE.txt,24570,?--lucene-join---7.2.1,"Approved/elasticsearch-6.2.3/lib/lucene-spatial-extras-7.2.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/lucene-misc-7.2.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/lucene-spatial-7.2.1.jar#/META-INF/LICENSE","0.95690,
0.95606,
0.95594"
pathSuffix,elasticsearch-6.2.3\lib\lucene-join-7.2.1.jar#\META-INF\NOTICE.txt,9571,?--lucene-join---7.2.1,"Approved/elasticsearch-6.2.3/lib/lucene-spatial3d-7.2.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/lucene-spatial-7.2.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/lucene-spatial-extras-7.2.1.jar#/META-INF/NOTICE","0.96900,
0.96840,
0.96832"
